GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sifis,it.polito.elite.sifis.entities.petrinet,InputArc,103,0,6,0,32,0,13,0,10,0
sifis,it.polito.elite.sifis.entities.petrinet,CopyTransition.Type,24,0,0,0,3,0,1,0,1,0
sifis,it.polito.elite.sifis.entities.petrinet,ActionPlace,22,0,0,0,9,0,4,0,4,0
sifis,it.polito.elite.sifis.entities.petrinet,OutputArc,63,0,0,0,20,0,7,0,7,0
sifis,it.polito.elite.sifis.entities.petrinet,PetriNet,289,0,14,0,84,0,35,0,28,0
sifis,it.polito.elite.sifis.entities.petrinet,Arc,17,0,0,0,7,0,5,0,5,0
sifis,it.polito.elite.sifis.entities.petrinet,Simulation,269,0,26,0,84,0,32,0,19,0
sifis,it.polito.elite.sifis.entities.petrinet,NetObject,40,0,2,0,14,0,7,0,6,0
sifis,it.polito.elite.sifis.entities.petrinet,TokenSet,240,0,26,0,63,0,29,0,16,0
sifis,it.polito.elite.sifis.entities.petrinet,Place,69,0,0,0,23,0,10,0,10,0
sifis,it.polito.elite.sifis.entities.petrinet,TriggerPlace,22,0,0,0,9,0,4,0,4,0
sifis,it.polito.elite.sifis.entities.petrinet,TriggerTransition,147,0,10,0,40,0,14,0,9,0
sifis,it.polito.elite.sifis.entities.petrinet,RestSimulator,101,0,12,0,31,0,12,0,6,0
sifis,it.polito.elite.sifis.entities.petrinet,ExtendedPetriNet,264,0,18,0,74,0,26,0,17,0
sifis,it.polito.elite.sifis.entities.petrinet,CopyTransition,220,0,18,0,60,0,21,0,12,0
sifis,it.polito.elite.sifis.entities.petrinet,Token,152,0,12,0,40,0,18,0,12,0
sifis,it.polito.elite.sifis.entities.petrinet,Transition,257,0,34,0,66,0,30,0,13,0
sifis,it.polito.elite.sifis.entities.petrinet,RuleTransition,145,0,10,0,38,0,13,0,8,0
sifis,it.polito.elite.sifis.entities.db,Dbrule,7,52,0,0,3,22,2,15,2,15
sifis,it.polito.elite.sifis.entities.db,Dbaction,14,24,0,0,6,10,4,7,4,7
sifis,it.polito.elite.sifis.entities.db,User,43,16,0,0,19,6,12,5,12,5
sifis,it.polito.elite.sifis.entities.db,SecurityUser,0,37,1,1,0,13,1,8,0,8
sifis,it.polito.elite.sifis.entities.db,Dbpolicy,3,0,0,0,1,0,1,0,1,0
sifis,it.polito.elite.sifis.entities.db,Dbentity,21,3,0,0,9,1,6,1,6,1
sifis,it.polito.elite.sifis.entities.db,Dbtrigger,14,24,0,0,6,10,4,7,4,7
sifis,it.polito.elite.sifis.entities.db,Dbdetail,16,36,0,0,6,16,5,10,5,10
sifis,it.polito.elite.sifis.utils,HandledDatatypes,145,0,0,0,18,0,6,0,6,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},36,0,2,0,8,0,5,0,4,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},30,0,2,0,6,0,5,0,4,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},29,0,2,0,6,0,5,0,4,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},24,0,2,0,5,0,4,0,3,0
sifis,it.polito.elite.sifis.utils,PropertyFileReader,6,17,0,0,3,6,1,1,1,1
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},40,0,6,0,6,0,7,0,4,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},21,0,2,0,5,0,4,0,3,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},24,0,2,0,5,0,4,0,3,0
sifis,it.polito.elite.sifis.utils,HandledDatatypes.new HandledDatatypes() {...},22,0,2,0,5,0,4,0,3,0
sifis,it.polito.elite.sifis.utils,FileUtils,3,27,0,2,1,5,1,2,1,1
sifis,it.polito.elite.sifis.controllers,SifisController,511,196,71,9,107,38,43,13,6,10
sifis,it.polito.elite.sifis.controllers,LoginController,29,5,0,0,7,2,2,2,2,2
sifis,it.polito.elite.sifis.controllers,IoTController,69,3,4,0,16,1,4,1,2,1
sifis,it.polito.elite.sifis.controllers,Index,2,3,0,0,1,1,1,1,1,1
sifis,it.polito.elite.sifis.entities.xacml,AttributesReferenceType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,PolicyIssuerType,21,0,2,0,7,0,5,0,4,0
sifis,it.polito.elite.sifis.entities.xacml,AnyOfType,11,3,2,0,3,1,2,1,1,1
sifis,it.polito.elite.sifis.entities.xacml,ResultType,49,0,2,0,19,0,13,0,12,0
sifis,it.polito.elite.sifis.entities.xacml,PolicySetType,84,0,2,0,34,0,23,0,22,0
sifis,it.polito.elite.sifis.entities.xacml,CombinerParameterType,17,0,0,0,7,0,5,0,5,0
sifis,it.polito.elite.sifis.entities.xacml,RequestType,42,0,2,0,16,0,11,0,10,0
sifis,it.polito.elite.sifis.entities.xacml,ObligationType,21,0,2,0,7,0,5,0,4,0
sifis,it.polito.elite.sifis.entities.xacml,AdviceType,21,0,2,0,7,0,5,0,4,0
sifis,it.polito.elite.sifis.entities.xacml,ExpressionType,0,3,0,0,0,1,0,1,0,1
sifis,it.polito.elite.sifis.entities.xacml,AssociatedAdviceType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,AdviceExpressionsType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,EffectType,31,34,4,0,5,6,4,2,2,2
sifis,it.polito.elite.sifis.entities.xacml,CombinerParametersType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,ObligationExpressionType,28,0,2,0,10,0,7,0,6,0
sifis,it.polito.elite.sifis.entities.xacml,AttributesType,35,0,2,0,13,0,9,0,8,0
sifis,it.polito.elite.sifis.entities.xacml,MultiRequestsType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,StatusCodeType,17,0,0,0,7,0,5,0,5,0
sifis,it.polito.elite.sifis.entities.xacml,IdReferenceType,31,0,0,0,13,0,9,0,9,0
sifis,it.polito.elite.sifis.entities.xacml,TargetType,11,3,2,0,3,1,2,1,1,1
sifis,it.polito.elite.sifis.entities.xacml,PolicyType,58,26,2,0,22,12,16,7,15,7
sifis,it.polito.elite.sifis.entities.xacml,AttributeValueType,17,12,2,0,5,4,4,2,3,2
sifis,it.polito.elite.sifis.entities.xacml,MissingAttributeDetailType,42,0,2,0,16,0,11,0,10,0
sifis,it.polito.elite.sifis.entities.xacml,DefaultsType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,AttributeType,35,0,2,0,13,0,9,0,8,0
sifis,it.polito.elite.sifis.entities.xacml,RequestReferenceType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,RequestDefaultsType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,MatchType,16,15,0,0,6,7,5,4,5,4
sifis,it.polito.elite.sifis.entities.xacml,PolicySetCombinerParametersType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,VariableReferenceType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,StatusType,24,0,0,0,10,0,7,0,7,0
sifis,it.polito.elite.sifis.entities.xacml,RuleCombinerParametersType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,ObligationExpressionsType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,ResponseType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,ConditionType,10,7,0,0,4,3,3,2,3,2
sifis,it.polito.elite.sifis.entities.xacml,ContentType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,AttributeAssignmentType,24,0,0,0,10,0,7,0,7,0
sifis,it.polito.elite.sifis.entities.xacml,AdviceExpressionType,28,0,2,0,10,0,7,0,6,0
sifis,it.polito.elite.sifis.entities.xacml,AllOfType,11,3,2,0,3,1,2,1,1,1
sifis,it.polito.elite.sifis.entities.xacml,RuleType,35,31,0,0,13,15,11,8,11,8
sifis,it.polito.elite.sifis.entities.xacml,AttributeAssignmentExpressionType,31,0,0,0,13,0,9,0,9,0
sifis,it.polito.elite.sifis.entities.xacml,PolicyIdentifierListType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,PolicyCombinerParametersType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,AttributeSelectorType,38,0,0,0,16,0,11,0,11,0
sifis,it.polito.elite.sifis.entities.xacml,StatusDetailType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,ObligationsType,14,0,2,0,4,0,3,0,2,0
sifis,it.polito.elite.sifis.entities.xacml,AttributeDesignatorType,19,19,0,0,7,9,6,5,6,5
sifis,it.polito.elite.sifis.entities.xacml,ObjectFactory,608,358,0,0,100,60,100,5,100,5
sifis,it.polito.elite.sifis.entities.xacml,ApplyType,15,13,1,1,5,5,4,3,3,3
sifis,it.polito.elite.sifis.entities.xacml,FunctionType,10,0,0,0,4,0,3,0,3,0
sifis,it.polito.elite.sifis.entities.xacml,VariableDefinitionType,17,0,0,0,7,0,5,0,5,0
sifis,it.polito.elite.sifis.entities.xacml,DecisionType,31,56,4,0,5,8,4,2,2,2
sifis,it.polito.elite.sifis,SecurityConfig,0,125,0,0,0,24,0,5,0,5
sifis,it.polito.elite.sifis,ServletInitializer,12,0,0,0,2,0,2,0,2,0
sifis,it.polito.elite.sifis,RootConfig,0,38,0,0,0,10,0,9,0,9
sifis,it.polito.elite.sifis,MyLogoutSuccessHandler,4,3,0,0,2,1,1,1,1,1
sifis,it.polito.elite.sifis,WebConfig,0,20,0,0,0,3,0,2,0,2
sifis,it.polito.elite.sifis,MyLogoutHandler,23,3,0,0,7,1,1,1,1,1
sifis,it.polito.elite.sifis,SifisApplication,14,3,0,0,3,1,2,1,2,1
sifis,it.polito.elite.sifis.services,DHTServiceImpl,16,145,0,0,2,34,0,3,0,3
